SL,Compounds,   PID,BBB-Class,References,,
1,SCC(=O)[C@@]1(O)[C@@]2(C)[C@H]([C@H]3[C@H]([C@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,BBB-Class 1: Permeable
30,S(CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@@H]2SC1)c1snnc1,88600140,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
31,S(CC1=C(C(=O)O)N2C(=O)[C@](OC)(NC(=O)C3S/C(=C(/C(=O)O)\C#N)/S3)[C@H]2SC1)c1n(C)nnn1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
32,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cn3nnnc3)[C@@H]2SC1)c1scnn1,40467099,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
33,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3sccc3)[C@@H]2SC1)C1=NCNN1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
34,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3nc(N)sc3)[C@@H]2SC1)c1n(CCN(C)C)nnn1,6604465,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
35,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3c(CN)cccc3)[C@@H]2SC1)c1n(CC(=O)O)nnn1,6604420,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
36,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](NC(=O)c3c(O)cc(C)nc3)c3ccc(O)cc3)[C@@H]2SC1)c1n(C)nnn1,92402788,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
37,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@@H]2SC1)c1nn[nH]c1,42066941,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
38,S(CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](O)c3ccccc3)[C@H]2SC1)c1sc(C)nn1,22791966,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
39,S(CC1=C(C(=O)O)N2C(=O)[C@@](OC)(NC(=O)[C@@H](C(=O)O)c3ccc(O)cc3)[C@@H]2OC1)c1n(C)nnn1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
40,S(CC[C@@H](NC(=O)C)C(=O)Oc1ccc(NC(=O)C)cc1)C,53832858,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
41,S(CC)[C@]1(SC)[C@@]2(C)[C@@H]([C@@H]3[C@@](F)([C@@H](O)C2)[C@@]2(C)C(=CC(=O)C=C2)CC3)CC1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
42,S(CC(=O)N[C@H]1C(=O)N2[C@H](C(=O)O)C(C)(C)S[C@H]12)c1ccccc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
43,S(CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(=O)C)CS[C@H]12)c1ccncc1,30699,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
44,S(CC(=O)N[C@@H]1C(=O)N2[C@H](C(=O)O)C(C)(C)S[C@@H]12)CC=C,92170492,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
45,S(CC#N)CC(=O)N[C@]1(OC)C(=O)N2C(C(=O)O)=C(CSc3n(C)nnn3)CS[C@@H]12,12784852,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
46,S(C[C@H]1CN(CCC)[C@H]2[C@@H](c3c4c([nH]cc4C2)ccc3)C1)C,47811,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
47,S(C[C@H](NC(=O)c1c(C)c(O)ccc1)[C@H](O)CN1[C@H](C(=O)NC(C)C)C[C@H]2[C@@H](C1)CCCC2)c1ccccc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
48,S(C[C@H](N)C(=O)O)CC(=O)N[C@@]1(OC)C(=O)N2C(C(=O)O)=C(CSc3n(C)nnn3)CS[C@H]12,92209762,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
49,S(C[C@@H]1C=C2[C@@H](N(C)C1)Cc1c3c([nH]c1)cccc23)c1ncccc1,23955947,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
50,S(C[C@@H](NC(=O)c1c(C)c(O)ccc1)[C@@H](O)CN1[C@@H](C(=O)NC(C)(C)C)C[C@@H]2[C@@H](C1)CCCC2)c1ccccc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
51,S(C)c1ccc(CC(=O)N2[C@@H](CN3C[C@H](O)CC3)CN(C(=O)C)CC2)cc1,44310513,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
52,S(C)c1cc2N(CC[C@H]3NCCCC3)c3c(Sc2cc1)cccc3,76968993,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
53,S(C)c1cc2N(CC[C@H]3N(C)CCCC3)c3c(Sc2cc1)cccc3,12444300,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
54,S(C)c1cc2N(C[C@H](CN(C)C)C)c3c(Sc2cc1)cccc3,70691443,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
55,S(C)c1cc2[C@@H](N3CCN(C)CC3)Cc3c(Sc2cc1)cccc3,7059581,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
56,S(C)[C@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H]([C@H](NC(=O)[C@@H]2N(C)C[C@@H](CCC)C2)[C@@H](O)C)O1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
57,S(C(F)F)CC(=O)N[C@]1(OC)C(=O)N2C(C(=O)O)=C(CSc3n(CCO)nnn3)CO[C@@H]12,124303469,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
58,S(C(F)(F)F)CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3n(C)nnn3)CS[C@@H]12,92403441,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
59,S(C(CNc1c([N+](=O)[O-])cc[nH]1)(C)C)C(C)(C)c1nc(C)c(C)c(C)c1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
60,S(C(=O)OCC)/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)OCC,5353523,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01521,,
61,S(C(=O)c1occc1)CC1=C(C(=O)O)N2C(=O)[C@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@H]2SC1,92169538,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
62,S(C(=O)C)C[C@H](C(=O)NCC(=O)OCc1ccccc1)Cc1ccccc1,60561,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
63,S(C(=O)C(C)(C)C)CC(=O)[C@@]1(O)[C@@]2(C)[C@H]([C@H]3[C@H]([C@@H](O)C2)[C@@]2(C)C(=CC(=O)CC2)CC3)CC1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
64,S(C(=O)[C@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]3(C)C([C@H](F)C[C@H]21)=CC(=O)C=C3)CF,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
65,S(C(=O)[C@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]3(C)C([C@H](F)C[C@H]21)=CC(=O)C=C3)C,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
66,S(C(=O)[C@]1(OC(=O)C)[C@@H](C)C[C@H]2[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]3(C)C(=CC(=O)C=C3)CC[C@H]21)C,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
67,S(C(=O)[C@]1(O)[C@H](C)C[C@H]2[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]3(C)C([C@H](F)C[C@H]21)=CC(=O)C=C3)CF,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
68,S(C(=O)[C@@]1(O)[C@@H](C)C[C@@H]2[C@]1(C)C[C@@H](O)[C@]1(F)[C@]3(C)C(=CC(=O)C=C3)CC[C@@H]21)C,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
69,S(=O)(=O)(ON1C(=O)[C@@H](NC/C(=N\OCC(=O)O)/c2nc(N)sc2)C1(C)C)O,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
70,S(=O)(=O)(OC[C@]12OC(C)(C)O[C@@H]1[C@H]1OC(C)(C)O[C@H]1CO2)N,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
71,S(=O)(=O)(O)N1[C@H](C)[C@H](NC(=O)/C(=N\OC(C(=O)O)(C)C)/c2nc(N)sc2)C1=O,86741379,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
72,S(=O)(=O)(O)N1[C@@H](COC(=O)N)[C@@H](NC(=O)/C(=N\OCC(=O)O)/c2nc(N)sc2)C1=O,118987211,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
73,S(=O)(=O)(O)N[C@@H](C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]12)c1ccccc1,73952099,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
74,S(=O)(=O)(O)Cn1c(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@@H](O)c4ccccc4)[C@H]3SC2)nnn1,56840883,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
75,S(=O)(=O)(O)CCC1C=CN(CC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)[C@H](NC(=O)c4c(C(=O)O)[nH]cn4)c4ccccc4)[C@@H]3SC2)C=C1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
76,S(=O)(=O)(O)CCC[N+]1([C-H2])[C@@H]2CC(OC(=O)[C@@H](CO)c3ccccc3)C[C@@H]1CC2,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
77,S(=O)(=O)(O)c1cc(C(=O)OCC(=O)[C@]2(O)[C@H](C)C[C@@H]3[C@@]2(C)C[C@H](O)[C@H]2[C@@]4(C)C(C(C)=C[C@@H]32)=Cc2n(-c3ccccc3)ncc2C4)ccc1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
78,S(=O)(=O)(O)[C@H](C(=O)N[C@H]1C(=O)N2[C@@H](C(=O)O)[C@@H](CN3C=CC(C(=O)N)C=C3)CS[C@H]12)c1ccccc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
79,S(=O)(=O)(O)[C@@H](C(=O)N[C@@H]1C(=O)N2[C@H](C(=O)O)C(C)(C)S[C@H]12)c1ccccc1,92210019,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
80,S(=O)(=O)(Nc1ccc([C@H](O)CNC(C)C)cc1)C,119259,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
81,S(=O)(=O)(Nc1cc([C@@H](N)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(C)CS[C@@H]23)ccc1)C,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
82,S(=O)(=O)(NC)c1c(N)cc(OC)c(C(=O)NC[C@H]2N(CC=C)CCC2)c1,76971675,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
83,S(=O)(=O)(N[C@H](N)CCSCc1nc(N[C-]([N+H3])N)sc1)N,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
84,S(=O)(=O)(N)c1ccc(Nc2nc(O)c(NC(=O)N[C@H](C(=O)N[C@H]3C(=O)N4[C@H](C(=O)O)C(C)(C)S[C@@H]34)c3ccc(O)cc3)cn2)cc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
85,S(=O)(=O)(N)c1cc(OC)c(OC)c(C(=O)NC[C@@H]2N(CC=C)CCC2)c1,969473,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
86,S(=O)(=O)(N)c1cc(C(=O)NC[C@H]2N(CCC)CCC2)c(OC)cc1,76970760,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
87,S(=O)(=O)(N)c1cc(C(=O)NC[C@H]2N(CC)CCC2)c(OC)cc1,688272,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
88,S(=O)(=O)(N)c1cc(C(=O)NC[C@@H]2N(Cc3ccc(F)cc3)CCC2)c(OC)cc1,76968493,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
89,S(=O)(=O)(N)c1cc(C(=O)NC[C@@H]2N(C)CCC2)c(OC)cc1,76967183,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
90,S(=O)(=O)(N(CCO)CCO)c1ccc(C=2NC(=O)C(C(=O)N[C@@H](C(=O)N[C@H]3C(=O)N4[C@@H](C(=O)O)C(C)(C)S[C@H]34)c3ccc(O)cc3)=CC=2)cc1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
91,S(=O)(=O)(N(CC)CC)N[C@H]1CN(CCC)[C@@H]2[C@H](C1)Cc1c(O)cccc1C2,124389587,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
92,S(=O)(=O)(N(CC)CC)N[C@H]1CN(C)[C@@H]2[C@@H](c3c4c([nH]cc4C2)ccc3)C1,NA,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
93,S(=O)(=O)(N(C)C)N[C@H]1CN(C)[C@H]2[C@@H](c3c4c(n(C)cc4C2)ccc3)C1,124356113,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
94,S(=O)(=O)(N(C)C)c1cc2/C(=C/CCN3CCN(C)CC3)/c3c(Sc2cc1)cccc3,941650,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
95,S(=O)(=O)(CC)c1cc(C(=O)NC[C@@H]2N(CC)CCC2)c(OC)cc1,25273604,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
96,S(=O)(=O)(CC)c1c(N)cc(OC)c(C(=O)NC[C@H]2N(CC)CCC2)c1,3055076,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
97,S(=O)(=O)(C)N1C(=O)N(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)CC1,656511,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
98,S(=O)(=O)(C)c1ccc(CC(=O)N2[C@@H](CN3C[C@@H](O)CC3)CN(C(=O)C)CC2)cc1,44310651,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
99,S(=O)(=O)(C)c1cc2N(CC[C@H]3N(C)CCCC3)c3c(Sc2cc1)cccc3,76962996,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
100,S([C@H]1C[C@@H](C(=O)N(C)C)NC1)C=1[C@@H](C)[C@@H]2[C@H]([C@@H](O)C)C(=O)N2C=1C(=O)O,124762017,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
101,S([C@H](c1ccc(SCCCC)cc1)c1ccccc1)CCN(C)C,76959959,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
102,S([C@@H]1CN2[N@](C1)CN=C2)C=1[C@@H](C)[C@H]2[C@H]([C@H](O)C)C(=O)N2C=1C(=O)O,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
103,S([C@@H]1CN([C-]([N+H3])N)CC1)C1=C(C(=O)O)N2C(=O)[C@@H]([C@H](O)C)[C@H]2C1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
104,S([C@@H]1C[C@H]([C@@H](O)CCNC)NC1)C=1[C@@H](C)[C@@H]2[C@H]([C@H](O)C)C(=O)N2C=1C(=O)O,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
105,S(/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@@H]2SC1)C=1N(CC=O)C(=O)C(=O)NN=1,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
106,S(/C=C/C#N)CC(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CSc3n(C)nnn3)CS[C@H]12,NA,0,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
107,S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOP(=O)(O)O)C(=O)c1ccccc1,5282168,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
108,S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)c1ccccc1)C(=O)c1ccccc1,6100722,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
109,S(/C(=C(/N(C=O)Cc1c(N)nc(C)nc1)\C)/CCOC(=O)C)C(=O)C,5748361,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
110,P(C(=O)O)(=O)(O)O,3415,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
111,P(=O)(O)(O)[C@H]1[C@H](C)O1,6604158,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
112,OP(O)(=O)OCC(Cl)(Cl)Cl,5563,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
113,OP(O)(=O)CN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,68746558,1,Zhao et al.  J Chem Inf Model. 2007;47(1):170–175. DOI:10.1021/ci600312d,,
114,ONN,15568012,1,Roy et al. ACS Omega. 2019; 4(16):16774-16780. DOI: 10.1021/acsomega.9b01512,,
